batch,tuned,dseed,mseed,dataset,model,best_params,mode,dataset_type,seed,data_seed,total_epochs_trained,best_epoch,n_parameters,train_time_s,inference_time_s,best_valid_ndcg@10,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ABLATION_BATCH_REAL,False,,1,yelp,HAGNGlobal,,,real,1.0,1.0,12.0,1.0,417985.0,4.667578935623169,0.0910360813140869,0.0243,0.0427,0.0708,0.0268,0.0353,0.0347,0.0385,0.0105,0.0089,0.0954,0.1528
ABLATION_BATCH_REAL,False,,12,yelp,HAGNGlobal,,,real,12.0,1.0,183.0,172.0,417985.0,65.34361624717712,0.1037197113037109,0.0608,0.086,0.1416,0.0541,0.0705,0.0694,0.0757,0.0217,0.0179,0.1838,0.2762
ABLATION_BATCH_REAL,False,,123,yelp,HAGNGlobal,,,real,123.0,1.0,12.0,1.0,417985.0,59.18642282485962,4.92819619178772,0.0262,0.04,0.0704,0.0246,0.0334,0.0342,0.0378,0.0109,0.0092,0.0988,0.1542
ABLATION_BATCH_REAL,False,,1,yelp,HAGNUniform,,,real,1.0,1.0,12.0,1.0,417988.0,4.120103359222412,0.1032826900482177,0.0231,0.0439,0.0738,0.0266,0.0355,0.0332,0.0372,0.0107,0.0091,0.0962,0.1536
ABLATION_BATCH_REAL,False,,12,yelp,HAGNUniform,,,real,12.0,1.0,12.0,1.0,417988.0,15.204609870910645,0.1030595302581787,0.0228,0.0366,0.0637,0.023,0.031,0.0315,0.0349,0.0103,0.0086,0.091,0.1414
ABLATION_BATCH_REAL,False,,123,yelp,HAGNUniform,,,real,123.0,1.0,214.0,202.0,417988.0,94.97106862068176,0.1039497852325439,0.0609,0.0947,0.1507,0.0593,0.0758,0.0724,0.0787,0.0227,0.0182,0.1951,0.2881
ABLATION_BATCH_SYNTH,False,1,1,contrarian_u2000_i10000_sp0.002_ns0.2,ASLGCNSymmetric,,,synth,1.0,1.0,27.0,16.0,760257.0,5.417809724807739,0.0837080478668212,0.4695,0.6122,0.6861,0.5151,0.5374,0.5646,0.569,0.0967,0.0556,0.769,0.8325
ABLATION_BATCH_SYNTH,False,1,12,contrarian_u2000_i10000_sp0.002_ns0.2,ASLGCNSymmetric,,,synth,12.0,1.0,31.0,20.0,760257.0,6.618220806121826,0.0835547447204589,0.4532,0.5985,0.6771,0.4947,0.5184,0.5375,0.5425,0.0961,0.0556,0.751,0.8205
ABLATION_BATCH_SYNTH,False,1,123,contrarian_u2000_i10000_sp0.002_ns0.2,ASLGCNSymmetric,,,synth,123.0,1.0,286.0,275.0,760257.0,63.40571689605713,0.0886423587799072,0.5133,0.6774,0.7498,0.5679,0.59,0.609,0.6129,0.1073,0.061,0.8315,0.886
ABLATION_BATCH_SYNTH,False,2,1,contrarian_u2000_i10000_sp0.002_ns0.2,ASLGCNSymmetric,,,synth,1.0,2.0,32.0,20.0,760193.0,7.373809099197388,0.0838274955749511,0.4311,0.5593,0.6428,0.47,0.4948,0.5217,0.5271,0.0915,0.0537,0.7149,0.7924
ABLATION_BATCH_SYNTH,False,2,12,contrarian_u2000_i10000_sp0.002_ns0.2,ASLGCNSymmetric,,,synth,12.0,2.0,36.0,25.0,760193.0,7.319970607757568,0.0828495025634765,0.4398,0.5834,0.6645,0.4796,0.5043,0.5277,0.5328,0.0943,0.0553,0.7514,0.8244
ABLATION_BATCH_SYNTH,False,2,123,contrarian_u2000_i10000_sp0.002_ns0.2,ASLGCNSymmetric,,,synth,123.0,2.0,281.0,270.0,760193.0,171.50867295265198,5.336098670959473,0.5003,0.6624,0.7407,0.5609,0.5848,0.615,0.6191,0.1074,0.0615,0.8289,0.8854
ABLATION_BATCH_SYNTH,False,3,1,contrarian_u2000_i10000_sp0.002_ns0.2,ASLGCNSymmetric,,,synth,1.0,3.0,27.0,16.0,761409.0,5.565370321273804,0.0843698978424072,0.4281,0.5825,0.6604,0.4829,0.5063,0.5327,0.5374,0.0949,0.055,0.749,0.817
ABLATION_BATCH_SYNTH,False,3,12,contrarian_u2000_i10000_sp0.002_ns0.2,ASLGCNSymmetric,,,synth,12.0,3.0,29.0,18.0,761409.0,6.481029987335205,0.0885889530181884,0.4404,0.5948,0.6833,0.4939,0.5205,0.5413,0.5473,0.0975,0.0572,0.7505,0.834
ABLATION_BATCH_SYNTH,False,3,123,contrarian_u2000_i10000_sp0.002_ns0.2,ASLGCNSymmetric,,,synth,123.0,3.0,34.0,23.0,761409.0,15.075045108795166,3.657557487487793,0.4474,0.5845,0.6615,0.4882,0.5115,0.543,0.5479,0.0969,0.0562,0.7445,0.817
ABLATION_BATCH_SYNTH,False,1,1,contrarian_u2000_i10000_sp0.002_ns0.2,CSGCNNoWarmup,,,synth,1.0,1.0,21.0,10.0,760256.0,4.092003345489502,0.0785348415374755,0.432,0.573,0.6442,0.4742,0.4956,0.5191,0.5239,0.0905,0.0521,0.732,0.7985
ABLATION_BATCH_SYNTH,False,1,12,contrarian_u2000_i10000_sp0.002_ns0.2,CSGCNNoWarmup,,,synth,12.0,1.0,21.0,10.0,760256.0,4.234397649765015,0.0848457813262939,0.4257,0.5667,0.6558,0.4724,0.499,0.519,0.525,0.0904,0.0535,0.7225,0.808
ABLATION_BATCH_SYNTH,False,1,123,contrarian_u2000_i10000_sp0.002_ns0.2,CSGCNNoWarmup,,,synth,123.0,1.0,20.0,9.0,760256.0,3.9924569129943848,0.0824763774871826,0.4306,0.5743,0.6472,0.4774,0.4991,0.5213,0.5262,0.0909,0.0523,0.7255,0.7965
ABLATION_BATCH_SYNTH,False,2,1,contrarian_u2000_i10000_sp0.002_ns0.2,CSGCNNoWarmup,,,synth,1.0,2.0,20.0,9.0,760192.0,4.095897436141968,0.0855283737182617,0.405,0.5415,0.6234,0.4525,0.4765,0.4969,0.5025,0.0866,0.0506,0.6953,0.7759
ABLATION_BATCH_SYNTH,False,2,12,contrarian_u2000_i10000_sp0.002_ns0.2,CSGCNNoWarmup,,,synth,12.0,2.0,20.0,9.0,760192.0,4.092651128768921,0.082592487335205,0.4338,0.5419,0.6263,0.4487,0.4739,0.4926,0.4982,0.087,0.0516,0.7039,0.7864
ABLATION_BATCH_SYNTH,False,2,123,contrarian_u2000_i10000_sp0.002_ns0.2,CSGCNNoWarmup,,,synth,123.0,2.0,20.0,9.0,760192.0,4.116140604019165,0.0848555564880371,0.4176,0.5612,0.6383,0.4639,0.4874,0.5075,0.5127,0.0891,0.0523,0.7149,0.7879
ABLATION_BATCH_SYNTH,False,3,1,contrarian_u2000_i10000_sp0.002_ns0.2,CSGCNNoWarmup,,,synth,1.0,3.0,20.0,9.0,761408.0,4.086463928222656,0.0842869281768798,0.4069,0.5564,0.6345,0.4601,0.4839,0.5027,0.5084,0.0888,0.0521,0.715,0.7945
ABLATION_BATCH_SYNTH,False,3,12,contrarian_u2000_i10000_sp0.002_ns0.2,CSGCNNoWarmup,,,synth,12.0,3.0,20.0,9.0,761408.0,4.008615255355835,0.0812499523162841,0.4069,0.5489,0.6194,0.452,0.4731,0.4953,0.5003,0.0869,0.0503,0.71,0.782
ABLATION_BATCH_SYNTH,False,3,123,contrarian_u2000_i10000_sp0.002_ns0.2,CSGCNNoWarmup,,,synth,123.0,3.0,20.0,9.0,761408.0,4.082977294921875,0.0811986923217773,0.3978,0.5517,0.6334,0.4589,0.4838,0.5055,0.5117,0.0883,0.0522,0.7105,0.7965
ABLATION_BATCH_SYNTH,False,1,1,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNFixed,,,synth,1.0,1.0,17.0,6.0,760260.0,3.1221156120300293,0.0865311622619628,0.3243,0.4459,0.5385,0.3404,0.3677,0.3514,0.3597,0.0647,0.0408,0.5755,0.694
ABLATION_BATCH_SYNTH,False,1,12,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNFixed,,,synth,12.0,1.0,19.0,8.0,760260.0,3.4871997833251958,0.2033660411834716,0.337,0.4432,0.534,0.3419,0.3691,0.3576,0.3654,0.0644,0.0411,0.5575,0.6715
ABLATION_BATCH_SYNTH,False,1,123,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNFixed,,,synth,123.0,1.0,18.0,7.0,760260.0,3.381072998046875,0.0842804908752441,0.3457,0.4431,0.5504,0.355,0.3866,0.3773,0.3866,0.0644,0.0419,0.5635,0.696
ABLATION_BATCH_SYNTH,False,2,1,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNFixed,,,synth,1.0,2.0,17.0,6.0,760196.0,3.981081962585449,0.0867962837219238,0.3315,0.4155,0.5197,0.326,0.3568,0.3477,0.3562,0.0614,0.0402,0.5478,0.6688
ABLATION_BATCH_SYNTH,False,2,12,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNFixed,,,synth,12.0,2.0,16.0,5.0,760196.0,2.969593048095703,0.0841205120086669,0.3078,0.4243,0.5209,0.3314,0.3594,0.3539,0.3618,0.0637,0.0402,0.5553,0.6693
ABLATION_BATCH_SYNTH,False,2,123,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNFixed,,,synth,123.0,2.0,16.0,5.0,760196.0,3.4218595027923584,3.468724489212036,0.3054,0.4202,0.5223,0.3345,0.3643,0.3554,0.3646,0.061,0.0395,0.5423,0.6758
ABLATION_BATCH_SYNTH,False,3,1,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNFixed,,,synth,1.0,3.0,17.0,6.0,761412.0,3.739179611206055,0.1048932075500488,0.3122,0.4378,0.5443,0.3469,0.3786,0.3699,0.3788,0.0657,0.0429,0.5685,0.698
ABLATION_BATCH_SYNTH,False,3,12,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNFixed,,,synth,12.0,3.0,18.0,7.0,761412.0,3.696299552917481,0.3717305660247803,0.3135,0.4213,0.5253,0.3268,0.3573,0.3445,0.3532,0.0622,0.0406,0.547,0.6755
ABLATION_BATCH_SYNTH,False,3,123,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNFixed,,,synth,123.0,3.0,17.0,6.0,761412.0,3.3771276473999023,0.0843799114227294,0.3144,0.4266,0.5217,0.3318,0.3596,0.3538,0.362,0.0622,0.0397,0.555,0.675
ABLATION_BATCH_SYNTH,False,1,1,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNGlobal,,,synth,1.0,1.0,21.0,9.0,760257.0,3.9183642864227295,0.0829024314880371,0.3702,0.5099,0.6029,0.4137,0.4413,0.4417,0.4487,0.0768,0.0472,0.6425,0.7435
ABLATION_BATCH_SYNTH,False,1,12,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNGlobal,,,synth,12.0,1.0,19.0,8.0,760257.0,3.9543282985687256,0.2008368968963623,0.3676,0.5007,0.5958,0.3988,0.4271,0.4257,0.4333,0.0755,0.0467,0.642,0.748
ABLATION_BATCH_SYNTH,False,1,123,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNGlobal,,,synth,123.0,1.0,18.0,7.0,760257.0,3.324470281600952,0.0848493576049804,0.3689,0.4947,0.5915,0.4016,0.4305,0.4332,0.4405,0.0745,0.0464,0.6345,0.738
ABLATION_BATCH_SYNTH,False,2,1,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNGlobal,,,synth,1.0,2.0,19.0,8.0,760193.0,4.437151908874512,0.0848276615142822,0.3521,0.4815,0.5959,0.3881,0.4217,0.4172,0.4257,0.0733,0.0469,0.6233,0.7454
ABLATION_BATCH_SYNTH,False,2,12,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNGlobal,,,synth,12.0,2.0,19.0,8.0,760193.0,3.828603506088257,0.0850193500518798,0.338,0.482,0.5738,0.3808,0.4082,0.412,0.4193,0.0739,0.0456,0.6378,0.7409
ABLATION_BATCH_SYNTH,False,2,123,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNGlobal,,,synth,123.0,2.0,19.0,8.0,760193.0,3.6792030334472656,0.0824005603790283,0.3526,0.4867,0.5868,0.3875,0.4173,0.4192,0.4263,0.0753,0.047,0.6413,0.7439
ABLATION_BATCH_SYNTH,False,3,1,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNGlobal,,,synth,1.0,3.0,19.0,8.0,761409.0,6.755415439605713,4.910319805145264,0.3424,0.4834,0.5847,0.3823,0.4122,0.4081,0.4158,0.0733,0.0461,0.625,0.7375
ABLATION_BATCH_SYNTH,False,3,12,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNGlobal,,,synth,12.0,3.0,19.0,8.0,761409.0,4.040398836135864,0.108680248260498,0.3409,0.4802,0.574,0.3815,0.4097,0.4091,0.4163,0.0731,0.046,0.6255,0.73
ABLATION_BATCH_SYNTH,False,3,123,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNGlobal,,,synth,123.0,3.0,19.0,8.0,761409.0,8.442331790924072,3.4988772869110107,0.33,0.4986,0.5894,0.3937,0.421,0.4193,0.4265,0.0757,0.0468,0.6365,0.7405
ABLATION_BATCH_SYNTH,False,1,1,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNUniform,,,synth,1.0,1.0,18.0,7.0,760260.0,3.6249067783355713,0.0877883434295654,0.3576,0.4984,0.5782,0.4021,0.4254,0.4359,0.4412,0.0774,0.0458,0.6475,0.7235
ABLATION_BATCH_SYNTH,False,1,12,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNUniform,,,synth,12.0,1.0,18.0,7.0,760260.0,3.3994035720825195,0.0882000923156738,0.3732,0.4852,0.5723,0.391,0.4165,0.4232,0.4294,0.0748,0.0452,0.629,0.7175
ABLATION_BATCH_SYNTH,False,1,123,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNUniform,,,synth,123.0,1.0,17.0,6.0,760260.0,3.115187406539917,0.0852518081665039,0.3529,0.4816,0.5699,0.3868,0.4128,0.4235,0.4297,0.074,0.0448,0.631,0.7195
ABLATION_BATCH_SYNTH,False,2,1,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNUniform,,,synth,1.0,2.0,18.0,7.0,760196.0,4.077510118484497,0.197700023651123,0.3387,0.4784,0.5608,0.3784,0.4029,0.411,0.4176,0.0737,0.0446,0.6238,0.7169
ABLATION_BATCH_SYNTH,False,2,12,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNUniform,,,synth,12.0,2.0,18.0,7.0,760196.0,4.706518650054932,0.1966691017150879,0.3409,0.4614,0.5406,0.3699,0.3932,0.4027,0.4089,0.0712,0.0428,0.6018,0.6918
ABLATION_BATCH_SYNTH,False,2,123,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNUniform,,,synth,123.0,2.0,18.0,7.0,760196.0,4.280862808227539,0.4435641765594482,0.344,0.4712,0.551,0.3699,0.3942,0.4006,0.407,0.0739,0.0448,0.6233,0.7139
ABLATION_BATCH_SYNTH,False,3,1,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNUniform,,,synth,1.0,3.0,17.0,6.0,761412.0,3.784955739974976,0.1064918041229248,0.3471,0.4613,0.5398,0.3714,0.3948,0.4068,0.4129,0.0717,0.0433,0.606,0.693
ABLATION_BATCH_SYNTH,False,3,12,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNUniform,,,synth,12.0,3.0,17.0,6.0,761412.0,6.886491060256958,5.9494709968566895,0.3505,0.4787,0.5614,0.3857,0.4103,0.4197,0.4256,0.0753,0.0455,0.63,0.7155
ABLATION_BATCH_SYNTH,False,3,123,contrarian_u2000_i10000_sp0.002_ns0.2,HAGNUniform,,,synth,123.0,3.0,17.0,6.0,761412.0,3.250006437301636,0.0911505222320556,0.3321,0.4679,0.5535,0.377,0.4022,0.4156,0.4222,0.0733,0.0445,0.622,0.719
ABLATION_BATCH_SYNTH,False,1,1,contrarian_u2000_i10000_sp0.01_ns0.1,ASLGCNSymmetric,,,synth,1.0,1.0,14.0,3.0,768129.0,8.3618323802948,0.0869102478027343,0.0111,0.0079,0.014,0.0091,0.0115,0.0246,0.0281,0.0071,0.0065,0.067,0.119
ABLATION_BATCH_SYNTH,False,1,12,contrarian_u2000_i10000_sp0.01_ns0.1,ASLGCNSymmetric,,,synth,12.0,1.0,14.0,3.0,768129.0,8.17946743965149,0.0868034362792968,0.0105,0.0087,0.0165,0.0089,0.0122,0.0229,0.0273,0.0068,0.007,0.067,0.1335
ABLATION_BATCH_SYNTH,False,1,123,contrarian_u2000_i10000_sp0.01_ns0.1,ASLGCNSymmetric,,,synth,123.0,1.0,15.0,4.0,768129.0,9.089430809020996,0.0906076431274414,0.0127,0.0102,0.0177,0.0114,0.0141,0.0298,0.0337,0.0093,0.0082,0.0885,0.1485
ABLATION_BATCH_SYNTH,False,2,1,contrarian_u2000_i10000_sp0.01_ns0.1,ASLGCNSymmetric,,,synth,1.0,2.0,14.0,3.0,768129.0,8.438233137130737,0.0860974788665771,0.0101,0.0094,0.0155,0.0107,0.0129,0.0281,0.0318,0.0081,0.007,0.079,0.1335
ABLATION_BATCH_SYNTH,False,2,12,contrarian_u2000_i10000_sp0.01_ns0.1,ASLGCNSymmetric,,,synth,12.0,2.0,14.0,3.0,768129.0,8.243146657943726,0.0874276161193847,0.0102,0.0102,0.0169,0.0112,0.0138,0.0291,0.0331,0.0084,0.0077,0.0815,0.14
